epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,661.696,1.20788,0.62471,0.84634,0.807,0.64051,0.68063,0.39105,1.11842,0.62843,0.83545,0.000594125,0.000594125,0.000594125
55,673.796,1.2874,0.65278,0.85327,0.77199,0.66511,0.70642,0.40364,1.10637,0.61161,0.8371,0.00058175,0.00058175,0.00058175
56,685.896,1.2158,0.61899,0.84593,0.87326,0.6238,0.68894,0.38773,1.10691,0.63905,0.83827,0.000569375,0.000569375,0.000569375
57,698.031,1.20233,0.61779,0.84546,0.75095,0.66259,0.69444,0.38269,1.12514,0.62182,0.83413,0.000557,0.000557,0.000557
58,710.301,1.2206,0.62161,0.84468,0.77999,0.66086,0.67712,0.38063,1.13252,0.62026,0.83795,0.000544625,0.000544625,0.000544625
59,721.413,1.18906,0.60647,0.84134,0.77345,0.67393,0.70701,0.41832,1.06753,0.58008,0.8314,0.00053225,0.00053225,0.00053225
60,732.791,1.16005,0.59287,0.84145,0.79328,0.65806,0.70919,0.40888,1.06698,0.57879,0.83324,0.000519875,0.000519875,0.000519875
61,744.749,1.1539,0.59565,0.84303,0.77501,0.64111,0.69509,0.40361,1.07504,0.59722,0.83469,0.0005075,0.0005075,0.0005075
62,756.818,1.16865,0.59533,0.8434,0.70785,0.67058,0.67643,0.38929,1.0903,0.60372,0.83582,0.000495125,0.000495125,0.000495125
63,768.912,1.17139,0.60106,0.84012,0.77121,0.6558,0.68943,0.39969,1.08729,0.60727,0.83288,0.00048275,0.00048275,0.00048275
64,779.973,1.19301,0.60343,0.84291,0.78652,0.67736,0.69191,0.39353,1.09397,0.61223,0.83408,0.000470375,0.000470375,0.000470375
65,791.344,1.14566,0.58043,0.8397,0.79583,0.67854,0.69858,0.40693,1.08753,0.58819,0.83608,0.000458,0.000458,0.000458
